gene_name,ENTREZID
Zm00001d046112,732743
Zm00001d015014,732744
Zm00001d052929,732745
Zm00001d031415,732746
Zm00001d008395,732747
Zm00001d001896,732748
Zm00001d051840,732749
Zm00001d016687,732750
Zm00001d024486,732751
Zm00001d038558,732752
Zm00001d008268,732753
Zm00001d029628,732754
Zm00001d029631,732755
Zm00001d053749,732756
Zm00001d038348,732757
Zm00001d015053,732758
Zm00001d015054,732759
Zm00001d026197,732760
Zm00001d051812,732761
Zm00001d033786,732762
Zm00001d012330,732764
Zm00001d025706,732768
Zm00001d021829,732769
Zm00001d042694,732770
Zm00001d017737,732771
Zm00001d036816,732772
Zm00001d028092,732773
Zm00001d022193,732774
Zm00001d002589,732775
Zm00001d023652,732776
Zm00001d045046,732777
Zm00001d007716,732778
Zm00001d026654,732779
Zm00001d011943,732780
Zm00001d047451,732781
Zm00001d038190,732783
Zm00001d032504,732784
Zm00001d006520,732785
Zm00001d038371,732786
Zm00001d042906,732787
Zm00001d010048,732788
Zm00001d046909,732789
Zm00001d003913,732790
Zm00001d052289,732791
Zm00001d021716,732792
Zm00001d030786,732793
Zm00001d042090,732794
Zm00001d045054,732795
Zm00001d031542,732796
Zm00001d042303,732797
Zm00001d037118,732799
Zm00001d045055,732800
Zm00001d033447,732801
Zm00001d024702,732803
Zm00001d015746,732804
Zm00001d046621,732805
Zm00001d045706,732806
Zm00001d024037,732807
Zm00001d014993,732808
Zm00001d054043,732809
Zm00001d022560,732810
Zm00001d045431,732811
Zm00001d013007,732812
Zm00001d025816,732814
Zm00001d041829,732816
Zm00001d038855,732817
Zm00001d030083,732818
Zm00001d033222,732819
Zm00001d021301,732820
Zm00001d034817,732821
Zm00001d052944,732824
Zm00001d026056,732825
Zm00001d050043,732827
Zm00001d005199,732828
Zm00001d052053,732831
Zm00001d029195,732834
Zm00001d013412,732835
Zm00001d012863,732836
Zm00001d017746,732837
Zm00001d052243,732839
Zm00001d034192,732840
Zm00001d023536,732841
Zm00001d049610,732842
Zm00001d038812,732843
Zm00001d007638,732844
Zm00001d031802,732845
Zm00001d042901,732847
Zm00001d034898,778427
Zm00001d003287,778428
Zm00001d030235,778429
Zm00001d010056,778431
Zm00001d036496,778432
Zm00001d011595,778433
Zm00001d050020,778434
Zm00001d047276,778435
Zm00001d017095,778437
Zm00001d042961,778438
Zm00001d028360,778439
Zm00001d011225,100037738
Zm00001d026203,100037740
Zm00001d006585,100037746
Zm00001d037875,100037748
Zm00001d009088,100037755
Zm00001d046226,100037760
Zm00001d010368,100037763
Zm00001d008882,100037764
Zm00001d042143,100037765
Zm00001d029630,100037767
Zm00001d006236,100037768
Zm00001d017121,100037774
Zm00001d024998,100037775
Zm00001d005542,100037776
Zm00001d008841,100037778
Zm00001d027820,100037781
Zm00001d002125,100037782
Zm00001d024755,100037783
Zm00001d005450,100037784
Zm00001d044705,100037785
Zm00001d001948,100037786
Zm00001d026537,100037787
Zm00001d022613,100037791
Zm00001d019279,100037792
Zm00001d005459,100037793
Zm00001d043543,100037794
Zm00001d040567,100037796
Zm00001d048201,100037797
Zm00001d013256,100037798
Zm00001d022081,100037799
Zm00001d022082,100037800
Zm00001d007208,100037801
Zm00001d042869,100037812
Zm00001d040245,100037813
Zm00001d024996,100037814
Zm00001d006235,100037815
Zm00001d012180,100037816
Zm00001d023239,100037818
Zm00001d035256,100037819
Zm00001d018820,100037820
Zm00001d023718,100037821
Zm00001d003749,100037822
Zm00001d002065,100037824
Zm00001d027317,100037826
Zm00001d013781,100037827
Zm00001d021661,100037828
Zm00001d022278,100037830
Zm00001d032249,100038320
Zm00001d047372,100101505
Zm00001d021296,100101510
Zm00001d051149,100101512
Zm00001d053220,100101513
Zm00001d012561,100101525
Zm00001d018033,100101526
Zm00001d026337,100101527
Zm00001d002256,100101528
Zm00001d012166,100101530
Zm00001d033910,100101531
Zm00001d038762,100101532
Zm00001d022456,100101533
Zm00001d052112,100101536
Zm00001d006348,100101537
Zm00001d026240,100101538
Zm00001d002429,100101539
Zm00001d013555,100101540
Zm00001d021362,100101542
Zm00001d000238,100101543
